,100_top_x,100_top_y,100_bottom_x,100_bottom_y
711,3204.0,28.794410832599596,3204.0,-10.794410832599596
712,3208.5,28.80805144679738,3208.5,-10.808051446797379
713,3213.0,28.82186531634871,3213.0,-10.82186531634871
714,3217.5,28.836144158958597,3217.5,-10.836144158958597
715,3222.0,28.851179692332035,3222.0,-10.851179692332035
716,3226.5,28.867263634174023,3226.5,-10.867263634174023
717,3231.0,28.884675862832953,3231.0,-10.884675862832953
718,3235.5,28.903474323532354,3235.5,-10.903474323532354
719,3240.0,28.923519858132753,3240.0,-10.923519858132753
720,3244.5,28.944666457015128,3244.5,-10.944666457015128
721,3249.0,28.96676811056047,3249.0,-10.96676811056047
722,3253.5,28.989678809149755,3253.5,-10.989678809149755
723,3258.0,29.013252543163997,3258.0,-11.013252543163997
724,3262.5,29.037343302984155,3262.5,-11.037343302984155
725,3267.0,29.06180507899123,3267.0,-11.061805078991231
726,3271.5,29.08649186156622,3271.5,-11.08649186156622
727,3276.0,29.111257647089833,3276.0,-11.111257647089833
728,3280.5,29.135956604543736,3280.5,-11.135956604543736
729,3285.0,29.16044309725357,3285.0,-11.16044309725357
730,3289.5,29.184571498912547,3289.5,-11.184571498912547
731,3294.0,29.208196183213893,3294.0,-11.208196183213893
732,3298.5,29.231171523850826,3298.5,-11.231171523850826
733,3303.0,29.25335189451657,3303.0,-11.25335189451657
734,3307.5,29.274591668904332,3307.5,-11.274591668904332
735,3312.0,29.294745220707345,3312.0,-11.294745220707345
